canvasWidth,1
canvasHeight,2
absolute,3
minBound,4
maxBound,5
orthographic,6
angleOfView,7
initialZoom,8
viewportShift,9
viewportMargin,10

light,11
background,12

zoomFactor,13
zoomPinchFactor,14
zoomPinchCap,15
zoomStep,16
shiftHoldDistance,17
shiftWaitTime,18
vibrateTime,19
